key_url;governor;name;percentage;votes;totalVotes;mascVotes;femnVotes
ze-ronaldo;Zé Ronaldo;Andaraí;7,04%;4390;10611;5327;5278
marcos-mendes;Marcos Mendes;Andaraí;0,85%;530;10611;5327;5278
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Andaraí;0,32%;200;10611;5327;5278
joao-santana;João Santana;Andaraí;0,40%;250;10611;5327;5278
celia-sacramento;Célia Sacramento;Andaraí;0,24%;150;10611;5327;5278
orlando-andrade;Orlando Andrade;Andaraí;0,03%;20;10611;5327;5278
rui-costa;Rui Costa;Rio do Pires;91,12%;48;10059;5089;4963
ze-ronaldo;Zé Ronaldo;Rio do Pires;7,74%;4080;10059;5089;4963
marcos-mendes;Marcos Mendes;Rio do Pires;0,25%;130;10059;5089;4963
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Rio do Pires;0,44%;230;10059;5089;4963
joao-santana;João Santana;Rio do Pires;0,30%;160;10059;5089;4963
celia-sacramento;Célia Sacramento;Rio do Pires;0,15%;80;10059;5089;4963
orlando-andrade;Orlando Andrade;Rio do Pires;0,00%;0;10059;5089;4963
rui-costa;Rui Costa;Santa Inês;91,12%;4647;8225;4241;3982
ze-ronaldo;Zé Ronaldo;Santa Inês;7,98%;4070;8225;4241;3982
marcos-mendes;Marcos Mendes;Santa Inês;0,45%;230;8225;4241;3982
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Santa Inês;0,18%;90;8225;4241;3982
joao-santana;João Santana;Santa Inês;0,12%;60;8225;4241;3982
celia-sacramento;Célia Sacramento;Santa Inês;0,16%;80;8225;4241;3982
orlando-andrade;Orlando Andrade;Santa Inês;0,00%;0;8225;4241;3982
rui-costa;Rui Costa;Bonito;91,08%;7254;12237;6063;6157
ze-ronaldo;Zé Ronaldo;Bonito;8,20%;6530;12237;6063;6157
marcos-mendes;Marcos Mendes;Bonito;0,11%;90;12237;6063;6157
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Bonito;0,18%;140;12237;6063;6157
joao-santana;João Santana;Bonito;0,30%;240;12237;6063;6157
celia-sacramento;Célia Sacramento;Bonito;0,13%;100;12237;6063;6157
orlando-andrade;Orlando Andrade;Bonito;0,00%;0;12237;6063;6157
rui-costa;Rui Costa;Lagoa Real;91,07%;6168;10471;5040;5427
ze-ronaldo;Zé Ronaldo;Lagoa Real;8,28%;5610;10471;5040;5427
marcos-mendes;Marcos Mendes;Lagoa Real;0,04%;30;10471;5040;5427
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Lagoa Real;0,18%;120;10471;5040;5427
