id_ibge_cidade;cidade;populacao_2021;idh;pib;pib_per_capta;salario_medio_mensal;microrregiao;mesorregiao;regiao_imediata;regiao_intermediaria;estado;regiao
2928505;Santa Teresinha;9648;0.587;70923.83;6816.32;1.6;Feira de Santana;Centro Norte Baiano;Cruz das Almas;Santo Antônio de Jesus;Bahia;Nordeste
2918100;Jeremoabo;37680;0.547;369462.97;9130.88;1.9;Jeremoabo;Nordeste Baiano;Jeremoabo;Paulo Afonso;Bahia;Nordeste
2909109;Coribe;14307;0.6;138545.7;9760.86;1.8;Santa Maria da Vitória;Extremo Oeste Baiano;Santa Maria da Vitoria;Barreiras;Bahia;Nordeste
2924306;Piatã;17982;0.571;134433.69;7851.06;2.1;Seabra;Centro Sul Baiano;Seabra;Feira de Santana;Bahia;Nordeste
2926707;Rio de Contas;13007;0.605;129467.09;9967.44;1.5;Seabra;Centro Sul Baiano;Brumado;Vitória da Conquista;Bahia;Nordeste
2918209;Jiquiriçá;14118;0.553;117538.3;8085.46;1.7;Jequié;Centro Sul Baiano;Santo Antônio de Jesus;Santo Antônio de Jesus;Bahia;Nordeste
2929206;São Francisco do Conde;33183;0.674;8383471.5;210629.4;5.2;Salvador;Metropolitana de Salvador;Salvador;Salvador;Bahia;Nordeste
2902302;Aratuípe;8599;0.575;68859.22;7802.74;1.8;Santo Antônio de Jesus;Metropolitana de Salvador;Nazaré - Maragogipe;Santo Antônio de Jesus;Bahia;Nordeste
2919108;Lamarão;9560;0.518;56091.69;6752.34;1.9;Serrinha;Nordeste Baiano;Feira de Santana;Feira de Santana;Bahia;Nordeste
2925907;Quijingue;27228;0.544;244150.67;8852.45;2.5;Euclides da Cunha;Nordeste Baiano;Euclides da Cunha;Paulo Afonso;Bahia;Nordeste
2926202;Riachão das Neves;21937;0.578;780488.56;34938.38;2.1;Barreiras;Extremo Oeste Baiano;Barreiras;Barreiras;Bahia;Nordeste
2906501;Candeias;83158;0.691;4681094.5;53758.72;3.1;Salvador;Metropolitana de Salvador;Salvador;Salvador;Bahia;Nordeste
2907202;Casa Nova;64940;0.57;758000.1;10532.31;1.6;Juazeiro;Vale São-Franciscano da Bahia;Juazeiro;Juazeiro;Bahia;Nordeste
2923100;Olindina;24943;0.559;207760.98;7359.84;1.8;Ribeira do Pombal;Nordeste Baiano;Ribeira do Pombal;Paulo Afonso;Bahia;Nordeste
2920304;Malhada de Pedras;8468;0.578;67222.91;8009.4;1.7;Brumado;Centro Sul Baiano;Brumado;Vitória da Conquista;Bahia;Nordeste
2922656;Nordestina;12371;0.56;159551.81;12151.7;2.8;Euclides da Cunha;Nordeste Baiano;Conceição do Coité;Feira de Santana;Bahia;Nordeste
2905107;Caém;10368;0.546;80228.24;8708.16;2.0;Jacobina;Centro Norte Baiano;Jacobina;Feira de Santana;Bahia;Nordeste
2902708;Barra;49325;0.557;380443.94;7100.75;2.1;Barra;Vale São-Franciscano da Bahia;Xique-Xique - Barra;Irecê;Bahia;Nordeste
2910404;Encruzilhada;23766;0.544;193252.84;11363.8;1.9;Itapetinga;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2912301;Ibicuí;15785;0.584;157102.97;9698.91;1.6;Vitória da Conquista;Centro Sul Baiano;Ilhéus - Itabuna;Ilhéus - Itabuna;Bahia;Nordeste
2902807;Barra da Estiva;21187;0.575;263051.25;12770.72;1.7;Seabra;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2921500;Monte Santo;52338;0.506;394725.9;7987.49;2.1;Euclides da Cunha;Nordeste Baiano;Euclides da Cunha;Paulo Afonso;Bahia;Nordeste
2906899;Caraíbas;10222;0.555;76677.33;8566.34;1.1;Brumado;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2926004;Remanso;38957;0.579;396348.66;9665.15;1.8;Juazeiro;Vale São-Franciscano da Bahia;Juazeiro;Juazeiro;Bahia;Nordeste
2900355;Adustina;15702;0.546;173473.9;10180.39;2.0;Ribeira do Pombal;Nordeste Baiano;Cícero Dantas;Paulo Afonso;Bahia;Nordeste
2931509;Teofilândia;21482;0.566;152121.86;6755.57;1.9;Serrinha;Nordeste Baiano;Serrinha;Feira de Santana;Bahia;Nordeste
2924207;Pedro Alexandre;16995;0.513;102345.07;6140.58;1.7;Jeremoabo;Nordeste Baiano;Jeremoabo;Paulo Afonso;Bahia;Nordeste
2920809;Marcionílio Souza;10500;0.561;80645.95;7749.95;2.1;Jequié;Centro Sul Baiano;Itaberaba;Feira de Santana;Bahia;Nordeste
2927101;Rodelas;7775;0.632;97382.86;10436.49;1.6;Paulo Afonso;Vale São-Franciscano da Bahia;Paulo Afonso;Paulo Afonso;Bahia;Nordeste
2923704;Paratinga;29504;0.59;231958.6;7248.71;2.1;Bom Jesus da Lapa;Vale São-Franciscano da Bahia;Bom Jesus da Lapa;Guanambi;Bahia;Nordeste
2909703;Cristópolis;13280;0.614;123122.89;8851.39;1.9;Cotegipe;Extremo Oeste Baiano;Barreiras;Barreiras;Bahia;Nordeste
2904902;Cachoeira;32026;0.647;431170.25;12882.29;2.0;Santo Antônio de Jesus;Metropolitana de Salvador;Cruz das Almas;Santo Antônio de Jesus;Bahia;Nordeste
2933174;Varzedo;9109;0.586;106359.26;12034.31;2.0;Santo Antônio de Jesus;Metropolitana de Salvador;Santo Antônio de Jesus;Santo Antônio de Jesus;Bahia;Nordeste
2916104;Itaparica;20725;0.67;245324.9;11036.75;1.6;Salvador;Metropolitana de Salvador;Nazaré - Maragogipe;Santo Antônio de Jesus;Bahia;Nordeste
2919157;Lapão;25646;0.596;253001.06;9293.65;1.6;Irecê;Centro Norte Baiano;Irecê;Irecê;Bahia;Nordeste
2919504;Livramento de Nossa Senhora;42693;0.611;504589.5;11033.62;1.6;Livramento do Brumado;Centro Sul Baiano;Brumado;Vitória da Conquista;Bahia;Nordeste
2932002;Uauá;24294;0.605;205220.4;8466.19;2.1;Euclides da Cunha;Nordeste Baiano;Juazeiro;Juazeiro;Bahia;Nordeste
2901700;Antônio Cardoso;11554;0.561;110322.43;9442.99;1.4;Feira de Santana;Centro Norte Baiano;Feira de Santana;Feira de Santana;Bahia;Nordeste
2930774;Sobradinho;22000;0.631;756250.44;32609.65;2.1;Juazeiro;Vale São-Franciscano da Bahia;Juazeiro;Juazeiro;Bahia;Nordeste
2903904;Bom Jesus da Lapa;63480;0.633;1108134.0;16025.54;1.8;Bom Jesus da Lapa;Vale São-Franciscano da Bahia;Bom Jesus da Lapa;Guanambi;Bahia;Nordeste
2918308;Jitaúna;14115;0.575;148674.44;13314.92;1.9;Jequié;Centro Sul Baiano;Jequié;Vitória da Conquista;Bahia;Nordeste
2929370;São José do Jacuípe;10180;0.552;88820.27;8489.8;1.7;Jacobina;Centro Norte Baiano;Jacobina;Feira de Santana;Bahia;Nordeste
2907400;Catolândia;2612;0.582;76671.03;21434.45;1.7;Barreiras;Extremo Oeste Baiano;Barreiras;Barreiras;Bahia;Nordeste
2925204;Pojuca;33066;0.666;1040038.4;26317.43;2.7;Catu;Metropolitana de Salvador;Salvador;Salvador;Bahia;Nordeste
2919926;Madre de Deus;17376;0.708;513715.25;24354.77;4.0;Salvador;Metropolitana de Salvador;Salvador;Salvador;Bahia;Nordeste
