Município [-];Código [-];Gentílico [-];Prefeito [2021];Área Territorial - km² [2021];População estimada - pessoas [2021];Densidade demográfica - hab/km² [2010];Escolarização <span>6 a 14 anos</span> - % [2010];IDHM [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2020];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];PIB per capita - R$ [2019]
Gongogi;2911501;gongogiense;ADRIANO MENDONÇA PINHEIRO;202,194;6852;42,28;96,8;0,576;28,57;18787,00558;19274,86127;8788,87
Governador Mangabeira;2911600;mangabeirense;MARCELO PEDREIRA DE MENDONÇA;106,848;20800;186,4;95,6;0,643;10,79;45767,30579;43219,59835;9062,74
Guajeru;2911659;guajeruense;JILVAN TEIXEIRA RIBEIRO;872,867;6371;11,12;97,1;0,569;-;19733,02424;17525,50498;8208,11
Guanambi;2911709;guanambiense;NILO AUGUSTO MORAES COELHO;1272,366;85353;60,8;97,8;0,673;10,28;170867,3085;160908,3109;17158,97
Guaratinga;2911808;guaratinguense;MARLENE DANTAS MARTINS;2189,404;20565;9,53;94,6;0,558;9,09;47789,08115;45373,20672;9927,51
Heliópolis;2911857;heliopoliense;JOSÉ MENDONÇA DANTAS;313,438;12946;38,94;98,3;0,563;7,58;30558,02194;27852,82181;8061,05
Iaçu;2911907;iaçuense;NIXON DUARTE MUNIZ FERREIRA;2342,497;23950;10,5;97,8;0,574;11,98;60037,04414;57378,95783;8746,6
Ibiassucê;2912004;ibiassuceense;FRANCISCO ADAUTO REBOUÇAS PRATES;483,274;8849;23,58;98,5;0,611;20,41;23959,66394;23285,90288;9549,91
Ibicaraí;2912103;ibicaraiense;MONALISA GONCALVES TAVARES;230,953;21083;104,65;98;0,625;17,47;56556,62455;51103,55029;8768,91
Ibicoara;2912202;ibicoarense;GILMADSON CRUZ DE MELO;817,355;19990;20,34;96,3;0,591;18,63;58287,55188;48215,55547;19974,06
Ibicuí;2912301;ibicuiense;MARCOS GALVÃO DE ASSIS;1139,378;16262;13,41;98,2;0,584;6,62;33375,07491;31866,20938;9698,91
Ibipeba;2912400;ibipebense;DEMOSTENES DE SOUSA BARRETO FILHO;1382,008;18421;12,29;97,6;0,616;10,15;37451,4382;36727,8033;7571,13
Ibipitanga;2912509;ibipitanguense;HUMBERTO RAIMUNDO RODRIGUES DE OLIVEIRA;954,373;14989;14,85;96,9;0,584;14,29;33266,76276;34373,27573;7087,1
Ibiquera;2912608;ibiquerense;IVAN CLAUDIO DE ALMEIDA;698,245;4047;5,15;96,2;0,511;-;14115,84189;13456,44348;7340,79
Ibirapitanga;2912707;ibirapitanguense;JUNILSON BATISTA GOMES;472,694;23433;50,53;95,9;0,558;24,17;58668,30209;52766,46156;9987,83
Ibirapuã;2912806;ibirapuense;CALIXTO ANTÔNIO RIBEIRO;771,098;8740;10,1;99,2;0,614;7,94;30165,39369;27721,94019;31908,04
Ibirataia;2912905;ibirataense;ANA CLÉIA DOS SANTOS LEAL;318,129;14476;64,24;97,6;0,576;4,29;47065,93238;43570,13785;11796,41
Ibitiara;2913002;ibitiarense;WILSON DOS SANTOS SOUZA;1834,002;16463;8,39;96,2;0,585;22,06;33339,25404;30941,80458;6552
Ibititá;2913101;ibititaense;NILVA BARRETO DOS SANTOS;573,033;17048;28,63;96,6;0,602;9,3;38870,18909;57520,53709;7491,39
Ibotirama;2913200;ibotiramense;LAERCIO SILVA DE SANTANA;1740,113;27076;14,76;96,4;0,636;17,33;62187,1602;70199,71683;13701,19
Ichu;2913309;ichuense;JOSE GONZAGA CARNEIRO;138,016;6232;41,16;98,4;0,631;-;17368,0625;16590,96721;7582,21
Igaporã;2913408;igaporaense;NEWTON FRANCISCO NEVES COTRIM;836,586;15661;18,26;97,3;0,614;22,39;39684,72262;39271,88107;12070
Igrapiúna;2913457;igrapiunense;MANOEL RIBEIRO DOS SANTOS;591,312;12963;25,31;97,2;0,574;44,44;39419,02765;35923,10272;12199,96
Iguaí;2913507;iguaiense;RONALDO MOITINHO DOS SANTOS;860,223;27006;31,05;94,1;0,552;8,24;78780,18022;59483,33864;7866,71
Ilhéus;2913606;ilheuense;MÁRIO ALEXANDRE CORREA DE SOUSA;1588,555;157639;104,67;96,7;0,69;25,87;397911,54;361229,6176;28755,9
Inhambupe;2913705;inhambupense;FORTUNATO SILVA COSTA;1082,283;40720;29,7;97,2;0,565;29,63;72615,03984;66885,06944;14338,96
Ipecaetá;2913804;ipecaetense;ELCYDES PIAGGIO DE OLIVEIRA JÚNIOR;372,565;14229;41,45;96,1;0,55;8,13;35403,30605;32919,14909;6113,51
Ipiaú;2913903;ipiauense;MARIA DAS GRAÇAS CESAR MENDONÇA;280,454;45969;166,05;97,4;0,67;11,63;79383,69001;74410,9302;10406,43
Ipirá;2914000;ipiraense;EDVONILSON SILVA SANTOS;3105,281;59281;19,39;95,9;0,549;11,51;136908,4544;102065,5006;10533,94
Ipupiara;2914109;ipupiarense;ASCIR LEITE SANTOS;1055,76;9954;8,75;98,8;0,59;21,74;23727,52435;21904,79736;8585,25
